"","old","new"
"1","",""
"2","  # in Female Headed Household receiving assistance","  # in Female Headed Household receiving assistance"
"3","  # in Male Headed Household receiving seasonal assistance","  # in Male Headed Household receiving seasonal assistance"
"4","  # of youth engaged in volunteering within the community","  # of youth engaged in volunteering within the community"
"5","  # participating in Youth Committees","  # participating in Youth Committees"
"6"," # benefited from solid waste management"," # benefited from solid waste management"
"7"," # in Female Headed Household receiving assistance"," # in Female Headed Household receiving assistance"
"8"," # in Female Headed Household receiving HH Items"," # in Female Headed Household receiving HH Items"
"9"," # in Female Headed Household receiving replenishment of consumable HH items"," # in Female Headed Household receiving replenishment of consumable HH items"
"10"," # in Female Headed Household receiving seasonal assistance"," # in Female Headed Household receiving seasonal assistance"
"11"," # in Male Headed Household receiving assistance"," # in Male Headed Household receiving assistance"
"12"," # in Male Headed Household receiving HH Items"," # in Male Headed Household receiving HH Items"
"13"," # in Male Headed Household receiving replenishment of consumable HH items"," # in Male Headed Household receiving replenishment of consumable HH items"
"14"," # in Male Headed Household receiving seasonal assistance"," # in Male Headed Household receiving seasonal assistance"
"15"," # of people benefitting from the completion of housing units in unfinished buildings"," # of people benefitting from the completion of housing units in unfinished buildings"
"16"," # targeted with access to a safe and equitable water for drinking and domestic use."," # targeted with access to a safe and equitable water for drinking and domestic use."
"17"," # with access to secure, clean and culturally appropriate sanitation facilities"," # with access to secure, clean and culturally appropriate sanitation facilities"
"18"," F/M accessing services targeting youth"," F/M accessing services targeting youth"
"19","#  reached through hygiene messages and demonstrate knowledge of key hygiene practices","#  reached through hygiene messages and demonstrate knowledge of key hygiene practices"
"20","# accessing non-public KGs including Parent-Child Centres.","# accessing non-public KGs including Parent-Child Centres."
"21","# accessing PSS services (level 2 & 3)","# accessing PSS services (level 2 & 3)"
"22","# active community health volunteers","# active community health volunteers"
"23","# benefited from solid waste management","# benefited from solid waste management"
"24","# benefiting from alternative education service such as non-formal education","# benefiting from alternative education service such as non-formal education"
"25","# benefiting from basic learning (literacy and numeracy)","# benefiting from basic learning (literacy and numeracy)"
"26","# benefiting from CSPs","# benefiting from CSPs"
"27","# benefiting from life skills activities","# benefiting from life skills activities"
"28","# benefiting from technical skills/post-basic education","# benefiting from technical skills/post-basic education"
"29","# benefitting from extra-curricular activities, recreation activities and sports that contribute to psychosocial well-being","# benefitting from extra-curricular activities, recreation activities and sports that contribute to psychosocial well-being"
"30","# children with disabilities provided with multi-sectoral services","# children with disabilities provided with multi-sectoral services"
"31","# enrolled with documentary enrollment","# enrolled with documentary enrollment"
"32","# enrolled with IRIS scan","# enrolled with IRIS scan"
"33","# experiencing violence in the home provided with multi-sectoral services","# experiencing violence in the home provided with multi-sectoral services"
"34","# experiencing violence in the schools provided with multi-sectoral services","# experiencing violence in the schools provided with multi-sectoral services"
"35","# F/M accessing services targeting youth","# F/M accessing services targeting youth"
"36","# having access to gender appropriate sanitation facilities in the schools","# having access to gender appropriate sanitation facilities in the schools"
"37","# in child labour provided with multi-sectoral services","# in child labour provided with multi-sectoral services"
"38","# in FHH receiving financial assistance","# in FHH receiving financial assistance"
"39","# in MHH receiving financial assistance","# in MHH receiving financial assistance"
"40","# of antenatal care visits provided","# of antenatal care visits provided"
"41","# of beneficiaries receiving assistance and household food consumption improved","# of beneficiaries receiving assistance and household food consumption improved"
"42","# of consultations provided on secondary mental health","# of consultations provided on secondary mental health"
"43","# of newly arriving Syrian refugees receiving welcome meals and / or welcome vouchers","# of newly arriving Syrian refugees receiving welcome meals and / or welcome vouchers"
